أَتَىٰٓ                 ['ʔ', 'a', 't', 'a:']
مِنۡهُ                 ['m', 'i', 'n', 'h', 'u']
سِرًّا                 ['s', 'i', 'r', 'r', 'a']
وَجَهۡرًا‌ۖ              ['w̃', 'a', 'ʒ', 'a', 'h', 'r', 'a', 'n']
هَلۡ                  ['h', 'a', 'l']
يَسۡتَوُۥنَ‌ۚ             ['j', 'a', 's', 't', 'a', 'w', 'u:', 'n', 'a']
ٱلۡحَمۡدُ               ['l', 'ħ', 'a', 'm', 'd', 'u']
لِلَّهِ‌ۚ                ['l', 'i', 'l', 'l', 'a', 'h', 'i']
بَلۡ                  ['b', 'a', 'l']
أَكۡثَرُهُمۡ              ['ʔ', 'a', 'k', 'θ', 'a', 'r', 'u', 'h', 'u', 'm']
لَا                  ['l', 'a:']
يَعۡلَمُونَ              ['j', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n']

16:76
وَضَرَبَ                ['w', 'a', 'dˤ', 'a', 'r', 'a', 'b', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
مَثَلاً                ['m', 'a', 'θ', 'a', 'l', 'a']
رَّجُلَيۡنِ               ['r', 'r', 'a', 'ʒ', 'u', 'l', 'a', 'j', 'n', 'i']
أَحَدُهُمَآ              ['ʔ', 'a', 'ħ', 'a', 'd', 'u', 'h', 'u', 'm', 'a:']
أَبۡكَمُ                ['ʔ', 'a', 'b', 'Q', 'k', 'a', 'm', 'u']
لَا                  ['l', 'a:']
يَقۡدِرُ                ['j', 'a', 'q', 'Q', 'd', 'i', 'r', 'u']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
شَىۡءٍ                 ['ʃ', 'a', 'j', 'ʔ', 'i']
وَهُوَ                 ['w̃', 'a', 'h', 'u', 'w', 'a']
كَلٌّ                  ['k', 'a', 'l', 'l', 'u', 'n']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
مَوۡلَـٰهُ               ['m', 'a', 'w', 'l', 'a:', 'h', 'u']
أَيۡنَمَا               ['ʔ', 'a', 'j', 'n', 'a', 'm', 'a:']
يُوَجِّههُّ               ['j', 'u', 'w', 'a', 'ʒ', 'ʒ', 'i', 'h', 'h', 'h', 'u']
لَا                  ['l', 'a:']
يَأۡتِ                 ['j', 'a', 'ʔ', 't', 'i']
بِخَيۡرٍ‌ۖ               ['b', 'i', 'x', 'a', 'j', 'r', 'i', 'n']
هَلۡ                  ['h', 'a', 'l']
يَسۡتَوِى               ['j', 'a', 's', 't', 'a', 'w', 'i:']
هُوَ                  ['h', 'u', 'w', 'a']
وَمَن                 ['w', 'a', 'm', 'a']
يَأۡمُرُ                ['j̃', 'a', 'ʔ', 'm', 'u', 'r', 'u']
بِٱلۡعَدۡلِ‌ۙ             ['b', 'i', 'l', 'ʕ', 'a', 'd', 'Q', 'l', 'i']
وَهُوَ                 ['w', 'a', 'h', 'u', 'w', 'a']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
صِرٰطٍ                 ['sˤ', 'i', 'r', 'a:', 'tˤ', 'i']
مُّسۡتَقِيمٍ              ['m̃', 'u', 's', 't', 'a', 'q', 'i:', 'm']

16:77
وَلِلَّهِ                ['w', 'a', 'l', 'i', 'l', 'l', 'a', 'h', 'i']
غَيۡبُ                 ['ɣ', 'a', 'j', 'b', 'u']
ٱلسَّمَـٰوٰتِ             ['s', 's', 'a', 'm', 'a:', 'w', 'a:', 't', 'i']
وَٱلۡأَرۡضِ‌ۚ             ['w', 'a', 'l', 'ʔ', 'a', 'r', 'dˤ', 'i']
وَمَآ                 ['w', 'a', 'm', 'a:']
أَمۡرُ                 ['ʔ', 'a', 'm', 'r', 'u']
ٱلسَّاعَةِ              ['s', 's', 'a:', 'ʕ', 'a', 't', 'i']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a:']
كَلَمۡحِ                ['k', 'a', 'l', 'a', 'm', 'ħ', 'i']
ٱلۡبَصَرِ               ['l', 'b', 'a', 'sˤ', 'a', 'r', 'i']
أَوۡ                  ['ʔ', 'a', 'w']
هُوَ                  ['h', 'u', 'w', 'a']
أَقۡرَبُ‌ۚ               ['ʔ', 'a', 'q', 'Q', 'r', 'a', 'b', 'u']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
كُلِّ                  ['k', 'u', 'l', 'l', 'i']
شَىۡءٍ                 ['ʃ', 'a', 'j', 'ʔ', 'i', 'ŋˤ']
قَدِيرٌ                ['q', 'a', 'd', 'i:', 'r']

16:78
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
أَخۡرَجَكُم              ['ʔ', 'a', 'x', 'r', 'a', 'ʒ', 'a', 'k', 'u', 'm̃']
مِّنۢ                  ['i', 'm̃']
بُطُونِ                ['b', 'u', 'tˤ', 'u:', 'n', 'i']
أُمَّهَـٰتِكُمۡ             ['ʔ', 'u', 'm̃', 'a', 'h', 'a:', 't', 'i', 'k', 'u', 'm']
لَا                  ['l', 'a:']
تَعۡلَمُونَ              ['t', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n', 'a']
شَيۡــًٔا               ['ʃ', 'a', 'j', 'ʔ', 'a']
وَجَعَلَ                ['w̃', 'a', 'ʒ', 'a', 'ʕ', 'a', 'l', 'a']
لَكُمُ                 ['l', 'a', 'k', 'u', 'm', 'u']
ٱلسَّمۡعَ               ['s', 's', 'a', 'm', 'ʕ', 'a']
وَٱلۡأَبۡصَـٰرَ            ['w', 'a', 'l', 'ʔ', 'a', 'b', 'Q', 'sˤ', 'a:', 'r', 'a']
وَٱلۡأَفۡــِٔدَةَ‌ۙ          ['w', 'a', 'l', 'ʔ', 'a', 'f', 'ʔ', 'i', 'd', 'a', 't', 'a']
لَعَلَّكُمۡ               ['l', 'a', 'ʕ', 'a', 'l', 'l', 'a', 'k', 'u', 'm']
تَشۡكُرُونَ              ['t', 'a', 'ʃ', 'k', 'u', 'r', 'u:', 'n']

16:79
أَلَمۡ                 ['ʔ', 'a', 'l', 'a', 'm']
يَرَوۡاۡ                ['j', 'a', 'r', 'a', 'w']
إِلَى                 ['ʔ', 'i', 'l', 'a']
ٱلطَّيۡرِ               ['tˤ', 'tˤ', 'a', 'j', 'r', 'i']
مُسَخَّرٰتٍ               ['m', 'u', 's', 'a', 'x', 'x', 'a', 'r', 'a:', 't', 'i', 'ŋ']
فِى                  ['f', 'i:']
جَوِّ                  ['ʒ', 'a', 'w', 'w', 'i']
ٱلسَّمَآءِ              ['s', 's', 'a', 'm', 'a:', 'ʔ', 'i']
مَا                  ['m', 'a:']
يُمۡسِكُهُنَّ              ['j', 'u', 'm', 's', 'i', 'k', 'u', 'h', 'u', 'ñ', 'a']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a']
ٱللَّهُ‌ۗ               ['l', 'l', 'l', 'a', 'h']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
فِى                  ['f', 'i:']
ذٰلِكَ                 ['ð', 'a:', 'l', 'i', 'k', 'a']
لَأَيَـٰتٍ               ['l', 'a', 'ʔ', 'a', 'j', 'a:', 't', 'i']
لِّقَوۡمٍ                ['l', 'l', 'i', 'q', 'a', 'w', 'm', 'i']
يُؤۡمِنُونَ              ['j̃', 'u', 'ʔ', 'm', 'i', 'n', 'u:', 'n']

16:80
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
جَعَلَ                 ['ʒ', 'a', 'ʕ', 'a', 'l', 'a']
لَكُم                 ['l', 'a', 'k', 'u', 'm̃']
مِّنۢ                  ['i', 'm̃']
بُيُوتِكُمۡ              ['b', 'u', 'j', 'u:', 't', 'i', 'k', 'u', 'm']
سَكَنًا                ['s', 'a', 'k', 'a', 'n', 'a']
وَجَعَلَ                ['w̃', 'a', 'ʒ', 'a', 'ʕ', 'a', 'l', 'a']
لَكُم                 ['l', 'a', 'k', 'u', 'm̃']
مِّن                  ['i', 'ŋ']
جُلُودِ                ['ʒ', 'u', 'l', 'u:', 'd', 'i']
ٱلۡأَنۡعَـٰمِ             ['l', 'ʔ', 'a', 'n', 'ʕ', 'a:', 'm', 'i']
بُيُوتًا               ['b', 'u', 'j', 'u:', 't', 'a', 'ŋ']
تَسۡتَخِفُّونَهَا           ['t', 'a', 's', 't', 'a', 'x', 'i', 'f', 'f', 'u:', 'n', 'a', 'h', 'a:']
يَوۡمَ                 ['j', 'a', 'w', 'm', 'a']
ظَعۡنِكُمۡ               ['ðˤ', 'a', 'ʕ', 'n', 'i', 'k', 'u', 'm']
وَيَوۡمَ                ['w', 'a', 'j', 'a', 'w', 'm', 'a']
إِقَامَتِكُمۡ‌ۙ            ['ʔ', 'i', 'q', 'a:', 'm', 'a', 't', 'i', 'k', 'u', 'm']
وَمِنۡ                 ['w', 'a', 'm', 'i', 'n']
أَصۡوَافِهَا             ['ʔ', 'a', 'sˤ', 'w', 'a:', 'f', 'i', 'h', 'a:']
وَأَوۡبَارِهَا            ['w', 'a', 'ʔ', 'a', 'w', 'b', 'a:', 'r', 'i', 'h', 'a:']
وَأَشۡعَارِهَآ            ['w', 'a', 'ʔ', 'a', 'ʃ', 'ʕ', 'a:', 'r', 'i', 'h', 'a:']
أَثَـٰثًا               ['ʔ', 'a', 'θ', 'a:', 'θ', 'a']
وَمَتَـٰعًا              ['w̃', 'a', 'm', 'a', 't', 'a:', 'ʕ', 'a', 'n']
إِلَىٰ                 ['ʔ', 'i', 'l', 'a:']
حِينٍ                 ['ħ', 'i:', 'n']

16:81
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
جَعَلَ                 ['ʒ', 'a', 'ʕ', 'a', 'l', 'a']
لَكُم                 ['l', 'a', 'k', 'u', 'm̃']
مِّمَّا                 ['i', 'm̃', 'a:']
خَلَقَ                 ['x', 'a', 'l', 'a', 'q', 'a']
ظِلَـٰلاً               ['ðˤ', 'i', 'l', 'a:', 'l', 'a']
وَجَعَلَ                ['w̃', 'a', 'ʒ', 'a', 'ʕ', 'a', 'l', 'a']
لَكُم                 ['l', 'a', 'k', 'u', 'm̃']
مِّنَ                  ['i', 'n', 'a']
ٱلۡجِبَالِ              ['l', 'ʒ', 'i', 'b', 'a:', 'l', 'i']
أَكۡنَـٰنًا              ['ʔ', 'a', 'k', 'n', 'a:', 'n', 'a']
وَجَعَلَ                ['w̃', 'a', 'ʒ', 'a', 'ʕ', 'a', 'l', 'a']
لَكُمۡ                 ['l', 'a', 'k', 'u', 'm']
سَرٰبِيلَ               ['s', 'a', 'r', 'a:', 'b', 'i:', 'l', 'a']
تَقِيكُمُ               ['t', 'a', 'q', 'i:', 'k', 'u', 'm', 'u']
ٱلۡحَرَّ                ['l', 'ħ', 'a', 'r', 'r', 'a']
وَسَرٰبِيلَ              ['w', 'a', 's', 'a', 'r', 'a:', 'b', 'i:', 'l', 'a']
تَقِيكُم               ['t', 'a', 'q', 'i:', 'k', 'u', 'ɱ']
بَأۡسَكُمۡ‌ۚ              ['b', 'a', 'ʔ', 's', 'a', 'k', 'u', 'm']
كَذٰلِكَ                ['k', 'a', 'ð', 'a:', 'l', 'i', 'k', 'a']
يُتِمُّ                 ['j', 'u', 't', 'i', 'm̃', 'u']
نِعۡمَتَهُۥ              ['n', 'i', 'ʕ', 'm', 'a', 't', 'a', 'h', 'u:']
عَلَيۡكُمۡ               ['ʕ', 'a', 'l', 'a', 'j', 'k', 'u', 'm']
لَعَلَّكُمۡ               ['l', 'a', 'ʕ', 'a', 'l', 'l', 'a', 'k', 'u', 'm']
تُسۡلِمُونَ              ['t', 'u', 's', 'l', 'i', 'm', 'u:', 'n']

16:82
فَإِن                 ['f', 'a', 'ʔ', 'i', 'ŋ']
تَوَلَّوۡاۡ               ['t', 'a', 'w', 'a', 'l', 'l', 'a', 'w']
فَإِنَّمَا               ['f', 'a', 'ʔ', 'i', 'ñ', 'a', 'm', 'a:']
عَلَيۡكَ                ['ʕ', 'a', 'l', 'a', 'j', 'k', 'a']
ٱلۡبَلَـٰغُ              ['l', 'b', 'a', 'l', 'a:', 'ɣ', 'u']
ٱلۡمُبِينُ              ['l', 'm', 'u', 'b', 'i:', 'n']

16:83
يَعۡرِفُونَ              ['j', 'a', 'ʕ', 'r', 'i', 'f', 'u:', 'n', 'a']
نِعۡمَتَ                ['n', 'i', 'ʕ', 'm', 'a', 't', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
ثُمَّ                  ['θ', 'u', 'm̃', 'a']
يُنكِرُونَهَا            ['j', 'u', 'ŋ', 'k', 'i', 'r', 'u:', 'n', 'a', 'h', 'a:']
وَأَكۡثَرُهُمُ             ['w', 'a', 'ʔ', 'a', 'k', 'θ', 'a', 'r', 'u', 'h', 'u', 'm', 'u']
ٱلۡكَـٰفِرُونَ            ['l', 'k', 'a:', 'f', 'i', 'r', 'u:', 'n']

16:84
وَيَوۡمَ                ['w', 'a', 'j', 'a', 'w', 'm', 'a']
نَبۡعَثُ                ['n', 'a', 'b', 'Q', 'ʕ', 'a', 'θ', 'u']
مِن                  ['m', 'i', 'ŋ']
كُلِّ                  ['k', 'u', 'l', 'l', 'i']
أُمَّةٍ                 ['ʔ', 'u', 'm̃', 'a', 't', 'i', 'ŋ']
شَهِيدًا               ['ʃ', 'a', 'h', 'i:', 'd', 'a', 'ŋ']
ثُمَّ                  ['θ', 'u', 'm̃', 'a']
لَا                  ['l', 'a:']
يُؤۡذَنُ                ['j', 'u', 'ʔ', 'ð', 'a', 'n', 'u']
لِلَّذِينَ               ['l', 'i', 'l', 'l', 'a', 'ð', 'i:', 'n', 'a']
كَفَرُواۡ               ['k', 'a', 'f', 'a', 'r', 'u:']
وَلَا                 ['w', 'a', 'l', 'a:']
هُمۡ                  ['h', 'u', 'm']
يُسۡتَعۡتَبُونَ            ['j', 'u', 's', 't', 'a', 'ʕ', 't', 'a', 'b', 'u:', 'n']

16:85
وَإِذَا                ['w', 'a', 'ʔ', 'i', 'ð', 'a:']
رَءَا                 ['r', 'a', 'ʔ', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
ظَلَمُواۡ               ['ðˤ', 'a', 'l', 'a', 'm', 'u:']
ٱلۡعَذَابَ              ['l', 'ʕ', 'a', 'ð', 'a:', 'b', 'a']
فَلَا                 ['f', 'a', 'l', 'a:']
يُخَفَّفُ                ['j', 'u', 'x', 'a', 'f', 'f', 'a', 'f', 'u']
عَنۡهُمۡ                ['ʕ', 'a', 'n', 'h', 'u', 'm']
وَلَا                 ['w', 'a', 'l', 'a:']
هُمۡ                  ['h', 'u', 'm']
يُنظَرُونَ              ['j', 'u', 'ŋˤ', 'ðˤ', 'a', 'r', 'u:', 'n']

16:86
وَإِذَا                ['w', 'a', 'ʔ', 'i', 'ð', 'a:']
رَءَا                 ['r', 'a', 'ʔ', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
أَشۡرَكُواۡ              ['ʔ', 'a', 'ʃ', 'r', 'a', 'k', 'u:']
شُرَكَآءَهُمۡ             ['ʃ', 'u', 'r', 'a', 'k', 'a:', 'ʔ', 'a', 'h', 'u', 'm']
قَالُواۡ               ['q', 'a:', 'l', 'u:']
رَبَّنَا                ['r', 'a', 'b', 'b', 'a', 'n', 'a:']
هَـٰٓؤُلَآءِ              ['h', 'a:', 'ʔ', 'u', 'l', 'a:', 'ʔ', 'i']
شُرَكَآؤُنَا             ['ʃ', 'u', 'r', 'a', 'k', 'a:', 'ʔ', 'u', 'n', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
كُنَّا                 ['k', 'u', 'ñ', 'a:']
نَدۡعُواۡ               ['n', 'a', 'd', 'Q', 'ʕ', 'u:']
مِن                  ['m', 'i', 'ŋ']
دُونِكَ‌ۖ               ['d', 'u:', 'n', 'i', 'k', 'a']
فَأَلۡقَوۡاۡ              ['f', 'a', 'ʔ', 'a', 'l', 'q', 'a', 'w']
إِلَيۡهِمُ               ['ʔ', 'i', 'l', 'a', 'j', 'h', 'i', 'm', 'u']
ٱلۡقَوۡلَ               ['l', 'q', 'a', 'w', 'l', 'a']
إِنَّكُمۡ                ['ʔ', 'i', 'ñ', 'a', 'k', 'u', 'm']
لَكَـٰذِبُونَ             ['l', 'a', 'k', 'a:', 'ð', 'i', 'b', 'u:', 'n']

16:87
وَأَلۡقَوۡاۡ              ['w', 'a', 'ʔ', 'a', 'l', 'q', 'a', 'w']
إِلَى                 ['ʔ', 'i', 'l', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
يَوۡمَئِذٍ               ['j', 'a', 'w', 'm', 'a', 'ʔ', 'i', 'ð', 'i', 'n', 'i']
ٱلسَّلَمَ‌ۖ              ['s', 's', 'a', 'l', 'a', 'm', 'a']
وَضَلَّ                 ['w', 'a', 'dˤ', 'a', 'l', 'l', 'a']
عَنۡهُم                ['ʕ', 'a', 'n', 'h', 'u', 'm̃']
مَّا                  ['a:']
كَانُواۡ               ['k', 'a:', 'n', 'u:']
يَفۡتَرُونَ              ['j', 'a', 'f', 't', 'a', 'r', 'u:', 'n']

16:88
ٱلَّذِينَ               ['ʔ', 'a', 'l', 'a', 'ð', 'i:', 'n', 'a']
كَفَرُواۡ               ['k', 'a', 'f', 'a', 'r', 'u:']
وَصَدُّواۡ               ['w', 'a', 'sˤ', 'a', 'd', 'd', 'u:']
عَن                  ['ʕ', 'a', 'ŋ']
سَبِيلِ                ['s', 'a', 'b', 'i:', 'l', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
زِدۡنَـٰهُمۡ              ['z', 'i', 'd', 'Q', 'n', 'a:', 'h', 'u', 'm']
عَذَابًا               ['ʕ', 'a', 'ð', 'a:', 'b', 'a', 'ŋ']
فَوۡقَ                 ['f', 'a', 'w', 'q', 'a']
ٱلۡعَذَابِ              ['l', 'ʕ', 'a', 'ð', 'a:', 'b', 'i']
بِمَا                 ['b', 'i', 'm', 'a:']
كَانُواۡ               ['k', 'a:', 'n', 'u:']
يُفۡسِدُونَ              ['j', 'u', 'f', 's', 'i', 'd', 'u:', 'n']

16:89
وَيَوۡمَ                ['w', 'a', 'j', 'a', 'w', 'm', 'a']
نَبۡعَثُ                ['n', 'a', 'b', 'Q', 'ʕ', 'a', 'θ', 'u']
فِى                  ['f', 'i:']
كُلِّ                  ['k', 'u', 'l', 'l', 'i']
أُمَّةٍ                 ['ʔ', 'u', 'm̃', 'a', 't', 'i', 'ŋ']
شَهِيدًا               ['ʃ', 'a', 'h', 'i:', 'd', 'a', 'n']
عَلَيۡهِم               ['ʕ', 'a', 'l', 'a', 'j', 'h', 'i', 'm̃']
مِّنۡ                  ['i', 'n']
أَنفُسِهِمۡ‌ۖ             ['ʔ', 'a', 'ŋ', 'f', 'u', 's', 'i', 'h', 'i', 'm']
وَجِئۡنَا               ['w', 'a', 'ʒ', 'i', 'ʔ', 'n', 'a:']
بِكَ                  ['b', 'i', 'k', 'a']
شَهِيدًا               ['ʃ', 'a', 'h', 'i:', 'd', 'a', 'n']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
هَـٰٓؤُلَآءِ‌ۚ             ['h', 'a:', 'ʔ', 'u', 'l', 'a:', 'ʔ', 'i']
وَنَزَّلۡنَا              ['w', 'a', 'n', 'a', 'z', 'z', 'a', 'l', 'n', 'a:']
عَلَيۡكَ                ['ʕ', 'a', 'l', 'a', 'j', 'k', 'a']
ٱلۡكِتَـٰبَ              ['l', 'k', 'i', 't', 'a:', 'b', 'a']
تِبۡيَـٰنًا              ['t', 'i', 'b', 'Q', 'j', 'a:', 'n', 'a']
لِّكُلِّ                 ['l', 'l', 'i', 'k', 'u', 'l', 'l', 'i']
شَىۡءٍ                 ['ʃ', 'a', 'j', 'ʔ', 'i']
وَهُدًى                ['w̃', 'a', 'h', 'u', 'd', 'a']
وَرَحۡمَةً               ['w̃', 'a', 'r', 'a', 'ħ', 'm', 'a', 't', 'a']
وَبُشۡرَىٰ               ['w̃', 'a', 'b', 'u', 'ʃ', 'r', 'a:']
لِلۡمُسۡلِمِينَ            ['l', 'i', 'l', 'm', 'u', 's', 'l', 'i', 'm', 'i:', 'n']

16:90
۞إِنَّ                 ['ʔ', 'i', 'ñ', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
يَأۡمُرُ                ['j', 'a', 'ʔ', 'm', 'u', 'r', 'u']
بِٱلۡعَدۡلِ              ['b', 'i', 'l', 'ʕ', 'a', 'd', 'Q', 'l', 'i']
وَٱلۡإِحۡسَـٰنِ            ['w', 'a', 'l', 'ʔ', 'i', 'ħ', 's', 'a:', 'n', 'i']
وَإِيتَآىِٕ              ['w', 'a', 'ʔ', 'i:', 't', 'a:', 'ʔ', 'i']
ذِى                  ['ð', 'i']
ٱلۡقُرۡبَىٰ              ['l', 'q', 'u', 'r', 'b', 'a:']
وَيَنۡهَىٰ               ['w', 'a', 'j', 'a', 'n', 'h', 'a:']
عَنِ                  ['ʕ', 'a', 'n', 'i']
ٱلۡفَحۡشَآءِ             ['l', 'f', 'a', 'ħ', 'ʃ', 'a:', 'ʔ', 'i']
وَٱلۡمُنكَرِ             ['w', 'a', 'l', 'm', 'u', 'ŋ', 'k', 'a', 'r', 'i']
وَٱلۡبَغۡىِ‌ۚ             ['w', 'a', 'l', 'b', 'a', 'ɣ', 'j', 'i']
يَعِظُكُمۡ               ['j', 'a', 'ʕ', 'i', 'ðˤ', 'u', 'k', 'u', 'm']
لَعَلَّكُمۡ               ['l', 'a', 'ʕ', 'a', 'l', 'l', 'a', 'k', 'u', 'm']
تَذَكَّرُونَ              ['t', 'a', 'ð', 'a', 'k', 'k', 'a', 'r', 'u:', 'n']

16:91
وَأَوۡفُواۡ              ['w', 'a', 'ʔ', 'a', 'w', 'f', 'u:']
بِعَهۡدِ                ['b', 'i', 'ʕ', 'a', 'h', 'd', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
إِذَا                 ['ʔ', 'i', 'ð', 'a:']
عَـٰهَدتُّمۡ              ['ʕ', 'a:', 'h', 'a', 't', 't', 'u', 'm']
وَلَا                 ['w', 'a', 'l', 'a:']
تَنقُضُواۡ              ['t', 'a', 'ŋˤ', 'q', 'u', 'dˤ', 'u:']
ٱلۡأَيۡمَـٰنَ             ['l', 'ʔ', 'a', 'j', 'm', 'a:', 'n', 'a']
بَعۡدَ                 ['b', 'a', 'ʕ', 'd', 'a']
تَوۡكِيدِهَا             ['t', 'a', 'w', 'k', 'i:', 'd', 'i', 'h', 'a:']
وَقَدۡ                 ['w', 'a', 'q', 'a', 'd', 'QQ']
جَعَلۡتُمُ               ['ʒ', 'a', 'ʕ', 'a', 'l', 't', 'u', 'm', 'u']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
عَلَيۡكُمۡ               ['ʕ', 'a', 'l', 'a', 'j', 'k', 'u', 'm']
كَفِيلاً‌ۚ              ['k', 'a', 'f', 'i:', 'l', 'a', 'n']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
يَعۡلَمُ                ['j', 'a', 'ʕ', 'l', 'a', 'm', 'u']
مَا                  ['m', 'a:']
تَفۡعَلُونَ              ['t', 'a', 'f', 'ʕ', 'a', 'l', 'u:', 'n']

16:92
وَلَا                 ['w', 'a', 'l', 'a:']
تَكُونُواۡ              ['t', 'a', 'k', 'u:', 'n', 'u:']
كَٱلَّتِى               ['k', 'a', 'l', 'l', 'a', 't', 'i:']
نَقَضَتۡ                ['n', 'a', 'q', 'a', 'dˤ', 'a', 't']
غَزۡلَهَا               ['ɣ', 'a', 'z', 'l', 'a', 'h', 'a:']
مِنۢ                  ['m', 'i', 'm̃']
بَعۡدِ                 ['b', 'a', 'ʕ', 'd', 'i']
قُوَّةٍ                 ['q', 'u', 'w', 'w', 'a', 't', 'i', 'n']
أَنكَـٰثًا              ['ʔ', 'a', 'ŋ', 'k', 'a:', 'θ', 'a', 'ŋ']
تَتَّخِذُونَ              ['t', 'a', 't', 't', 'a', 'x', 'i', 'ð', 'u:', 'n', 'a']
أَيۡمَـٰنَكُمۡ             ['ʔ', 'a', 'j', 'm', 'a:', 'n', 'a', 'k', 'u', 'm']
دَخَلَاۢ                ['d', 'a', 'x', 'a', 'l', 'a:', 'm̃']
بَيۡنَكُمۡ               ['b', 'a', 'j', 'n', 'a', 'k', 'u', 'm']
أَن                  ['ʔ', 'a', 'ŋ']
تَكُونَ                ['t', 'a', 'k', 'u:', 'n', 'a']
أُمَّةٌ                 ['ʔ', 'u', 'm̃', 'a', 't', 'u', 'n']
هِىَ                  ['h', 'i', 'j', 'a']
أَرۡبَىٰ                ['ʔ', 'a', 'r', 'b', 'a:']
مِنۡ                  ['m', 'i', 'n']
أُمَّةٍ‌ۚ                ['ʔ', 'u', 'm̃', 'a', 't', 'i', 'n']
إِنَّمَا                ['ʔ', 'i', 'ñ', 'a', 'm', 'a:']
يَبۡلُوكُمُ              ['j', 'a', 'b', 'Q', 'l', 'u:', 'k', 'u', 'm', 'u']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
بِهِۦ‌ۚ                ['b', 'i', 'h', 'i:']
وَلَيُبَيِّنَنَّ             ['w', 'a', 'l', 'a', 'j', 'u', 'b', 'a', 'j', 'j', 'i', 'n', 'a', 'ñ', 'a']
لَكُمۡ                 ['l', 'a', 'k', 'u', 'm']
يَوۡمَ                 ['j', 'a', 'w', 'm', 'a']
ٱلۡقِيَـٰمَةِ             ['l', 'q', 'i', 'j', 'a:', 'm', 'a', 't', 'i']
مَا                  ['m', 'a:']
كُنتُمۡ                ['k', 'u', 'ŋ', 't', 'u', 'm']
فِيهِ                 ['f', 'i:', 'h', 'i']
تَخۡتَلِفُونَ             ['t', 'a', 'x', 't', 'a', 'l', 'i', 'f', 'u:', 'n']

16:93
وَلَوۡ                 ['w', 'a', 'l', 'a', 'w']
شَآءَ                 ['ʃ', 'a:', 'ʔ', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
لَجَعَلَكُمۡ              ['l', 'a', 'ʒ', 'a', 'ʕ', 'a', 'l', 'a', 'k', 'u', 'm']
أُمَّةً                 ['ʔ', 'u', 'm̃', 'a', 't', 'a']
وٰحِدَةً                ['w̃', 'a:', 'ħ', 'i', 'd', 'a', 't', 'a']
وَلَـٰكِن               ['w̃', 'a', 'l', 'a:', 'k', 'i']
يُضِلُّ                 ['j̃', 'u', 'dˤ', 'i', 'l', 'l', 'u']
مَن                  ['m', 'a']
يَشَآءُ                ['j̃', 'a', 'ʃ', 'a:', 'ʔ', 'u']
وَيَهۡدِى               ['w', 'a', 'j', 'a', 'h', 'd', 'i:']
مَن                  ['m', 'a']
يَشَآءُ‌ۚ               ['j̃', 'a', 'ʃ', 'a:', 'ʔ', 'u']
وَلَتُسۡــَٔلُنَّ            ['w', 'a', 'l', 'a', 't', 'u', 's', 'ʔ', 'a', 'l', 'u', 'ñ', 'a']
عَمَّا                 ['ʕ', 'a', 'm̃', 'a:']
كُنتُمۡ                ['k', 'u', 'ŋ', 't', 'u', 'm']
تَعۡمَلُونَ              ['t', 'a', 'ʕ', 'm', 'a', 'l', 'u:', 'n']

16:94
وَلَا                 ['w', 'a', 'l', 'a:']
تَتَّخِذُوٓاۡ              ['t', 'a', 't', 't', 'a', 'x', 'i', 'ð', 'u:']
