الٓمٓ                 ['l', 'm']
فَوۡرِهِمۡ               ['f', 'a', 'w', 'r', 'i', 'h', 'i', 'm']
هَـٰذَا                ['h', 'a:', 'ð', 'a:']
يُمۡدِدۡكُمۡ              ['j', 'u', 'm', 'd', 'i', 'd', 'Q', 'k', 'u', 'm']
رَبُّكُم                ['r', 'a', 'b', 'b', 'u', 'k', 'u', 'Ikh']
بِخَمۡسَةِ               ['b', 'i', 'x', 'a', 'm', 's', 'a', 't', 'i']
ءَالَـٰفٍ               ['ʔ', 'a:', 'l', 'a:', 'f', 'i']
مِّنَ                  ['m̰', 'i', 'n', 'a']
ٱلۡمَلَـٰٓئِكَةِ            ['l', 'm', 'a', 'l', 'a:', 'ʔ', 'i', 'k', 'a', 't', 'i']
مُسَوِّمِينَ              ['m', 'u', 's', 'a', 'w', 'w', 'i', 'm', 'i:', 'n']

126
وَمَا                 ['w', 'a', 'm', 'a:']
جَعَلَهُ                ['ʒ', 'a', 'ʕ', 'a', 'l', 'a', 'h', 'u']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a:']
بُشۡرَىٰ                ['b', 'u', 'ʃ', 'r', 'a:']
لَكُمۡ                 ['l', 'a', 'k', 'u', 'm']
وَلِتَطۡمَئِنَّ             ['w', 'a', 'l', 'i', 't', 'a', 'tˤ', 'Q', 'm', 'a', 'ʔ', 'i', 'n̰', 'a']
قُلُوبُكُم              ['q', 'u', 'l', 'u:', 'b', 'u', 'k', 'u', 'Ikh']
بِهِۦ‌ۗ                ['b', 'i', 'h', 'i:']
وَمَا                 ['w', 'a', 'm', 'a:']
ٱلنَّصۡرُ               ['n̰', 'a', 'sˤ', 'r', 'u']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a:']
مِنۡ                  ['m', 'i', 'n']
عِندِ                 ['ʕ', 'i', 'Ikh1', 'd', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
ٱلۡعَزِيزِ              ['l', 'ʕ', 'a', 'z', 'i:', 'z', 'i']
ٱلۡحَكِيمِ              ['l', 'ħ', 'a', 'k', 'i:', 'm']

127
لِيَقۡطَعَ               ['l', 'i', 'j', 'a', 'q', 'Q', 'tˤ', 'a', 'ʕ', 'a']
طَرَفًا                ['tˤ', 'a', 'r', 'a', 'f', 'a']
مِّنَ                  ['m̰', 'i', 'n', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
كَفَرُوٓاۡ               ['k', 'a', 'f', 'a', 'r', 'u:']
أَوۡ                  ['ʔ', 'a', 'w']
يَكۡبِتَهُمۡ              ['j', 'a', 'k', 'b', 'i', 't', 'a', 'h', 'u', 'm']
فَيَنقَلِبُواۡ            ['f', 'a', 'j', 'a', 'Ikh2', 'q', 'a', 'l', 'i', 'b', 'u:']
خَآئِبِينَ              ['x', 'a:', 'ʔ', 'i', 'b', 'i:', 'n']

128
لَيۡسَ                 ['l', 'a', 'j', 's', 'a']
لَكَ                  ['l', 'a', 'k', 'a']
مِنَ                  ['m', 'i', 'n', 'a']
ٱلۡأَمۡرِ               ['l', 'ʔ', 'a', 'm', 'r', 'i']
شَىۡءٌ                 ['ʃ', 'a', 'j', 'ʔ', 'un']
أَوۡ                  ['ʔ', 'a', 'w']
يَتُوبَ                ['j', 'a', 't', 'u:', 'b', 'a']
عَلَيۡهِمۡ               ['ʕ', 'a', 'l', 'a', 'j', 'h', 'i', 'm']
أَوۡ                  ['ʔ', 'a', 'w']
يُعَذِّبَهُمۡ              ['j', 'u', 'ʕ', 'a', 'ð', 'ð', 'i', 'b', 'a', 'h', 'u', 'm']
فَإِنَّهُمۡ               ['f', 'a', 'ʔ', 'i', 'n̰', 'a', 'h', 'u', 'm']
ظَـٰلِمُونَ              ['ðˤ', 'a:', 'l', 'i', 'm', 'u:', 'n']

129
وَلِلَّهِ                ['w', 'a', 'l', 'i', 'l', 'l', 'a', 'h', 'i']
مَا                  ['m', 'a:']
فِى                  ['f', 'i:']
ٱلسَّمَـٰوٰتِ             ['s', 's', 'a', 'm', 'a:', 'w', 'a:', 't', 'i']
وَمَا                 ['w', 'a', 'm', 'a:']
فِى                  ['f', 'i:']
ٱلۡأَرۡضِ‌ۚ              ['l', 'ʔ', 'a', 'r', 'dˤ', 'i']
يَغۡفِرُ                ['j', 'a', 'ɣ', 'f', 'i', 'r', 'u']
لِمَن                 ['l', 'i', 'm', 'a']
يَشَآءُ                ['j̰', 'a', 'ʃ', 'a:', 'ʔ', 'u']
وَيُعَذِّبُ               ['w', 'a', 'j', 'u', 'ʕ', 'a', 'ð', 'ð', 'i', 'b', 'u']
مَن                  ['m', 'a']
يَشَآءُ‌ۚ               ['j̰', 'a', 'ʃ', 'a:', 'ʔ', 'u']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
غَفُورٌ                ['ɣ', 'a', 'f', 'u:', 'r', 'u']
رَّحِيمٌ                ['r', 'r', 'a', 'ħ', 'i:', 'm']

130
يَـٰٓأَيُّهَا              ['j', 'a:', 'ʔ', 'a', 'j', 'j', 'u', 'h', 'a:']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
ءَامَنُواۡ              ['ʔ', 'a:', 'm', 'a', 'n', 'u:']
لَا                  ['l', 'a:']
تَأۡكُلُواۡ              ['t', 'a', 'ʔ', 'k', 'u', 'l', 'u:']
ٱلرِّبَو‌ٰٓاۡ             ['r', 'r', 'i', 'b', 'a']
أَضۡعَـٰفًا              ['ʔ', 'a', 'dˤ', 'ʕ', 'a:', 'f', 'a']
مُّضَـٰعَفَةً‌ۖ             ['m̰', 'u', 'dˤ', 'a:', 'ʕ', 'a', 'f', 'a', 't', 'a']
وَٱتَّقُواۡ              ['w̰', 'a', 't', 't', 'a', 'q', 'u:']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
لَعَلَّكُمۡ               ['l', 'a', 'ʕ', 'a', 'l', 'l', 'a', 'k', 'u', 'm']
تُفۡلِحُونَ              ['t', 'u', 'f', 'l', 'i', 'ħ', 'u:', 'n']

131
وَٱتَّقُواۡ              ['w', 'a', 't', 't', 'a', 'q', 'u:']
ٱلنَّارَ               ['n̰', 'a:', 'r', 'a']
ٱلَّتِىٓ                ['l', 'l', 'a', 't', 'i:']
أُعِدَّتۡ                ['ʔ', 'u', 'ʕ', 'i', 'd', 'd', 'a', 't']
لِلۡكَـٰفِرِينَ            ['l', 'i', 'l', 'k', 'a:', 'f', 'i', 'r', 'i:', 'n']

132
وَأَطِيعُواۡ             ['w', 'a', 'ʔ', 'a', 'tˤ', 'i:', 'ʕ', 'u:']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
وَٱلرَّسُولَ             ['w', 'a', 'r', 'r', 'a', 's', 'u:', 'l', 'a']
لَعَلَّكُمۡ               ['l', 'a', 'ʕ', 'a', 'l', 'l', 'a', 'k', 'u', 'm']
تُرۡحَمُونَ              ['t', 'u', 'r', 'ħ', 'a', 'm', 'u:', 'n']

133
۞وَسَارِعُوٓاۡ            ['w', 'a', 's', 'a:', 'r', 'i', 'ʕ', 'u:']
إِلَىٰ                 ['ʔ', 'i', 'l', 'a:']
مَغۡفِرَةٍ               ['m', 'a', 'ɣ', 'f', 'i', 'r', 'a', 't', 'i']
مِّن                  ['m̰', 'i']
رَّبِّكُمۡ                ['r', 'r', 'a', 'b', 'b', 'i', 'k', 'u', 'm']
وَجَنَّةٍ                ['w', 'a', 'ʒ', 'a', 'n̰', 'a', 't', 'in']
عَرۡضُهَا               ['ʕ', 'a', 'r', 'dˤ', 'u', 'h', 'a:']
ٱلسَّمَـٰوٰتُ             ['s', 's', 'a', 'm', 'a:', 'w', 'a:', 't', 'u']
وَٱلۡأَرۡضُ              ['w', 'a', 'l', 'ʔ', 'a', 'r', 'dˤ', 'u']
أُعِدَّتۡ                ['ʔ', 'u', 'ʕ', 'i', 'd', 'd', 'a', 't']
لِلۡمُتَّقِينَ             ['l', 'i', 'l', 'm', 'u', 't', 't', 'a', 'q', 'i:', 'n']

134
ٱلَّذِينَ               ['l', 'a', 'ð', 'i:', 'n', 'a']
يُنفِقُونَ              ['j', 'u', 'Ikh1', 'f', 'i', 'q', 'u:', 'n', 'a']
فِى                  ['f', 'i:']
ٱلسَّرَّآءِ              ['s', 's', 'a', 'r', 'r', 'a:', 'ʔ', 'i']
وَٱلضَّرَّآءِ             ['w', 'a', 'dˤ', 'dˤ', 'a', 'r', 'r', 'a:', 'ʔ', 'i']
وَٱلۡكَـٰظِمِينَ           ['w', 'a', 'l', 'k', 'a:', 'ðˤ', 'i', 'm', 'i:', 'n', 'a']
ٱلۡغَيۡظَ               ['l', 'ɣ', 'a', 'j', 'ðˤ', 'a']
وَٱلۡعَافِينَ            ['w', 'a', 'l', 'ʕ', 'a:', 'f', 'i:', 'n', 'a']
عَنِ                  ['ʕ', 'a', 'n', 'i']
ٱلنَّاسِ‌ۗ              ['n̰', 'a:', 's', 'i']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
يُحِبُّ                 ['j', 'u', 'ħ', 'i', 'b', 'b', 'u']
ٱلۡمُحۡسِنِينَ            ['l', 'm', 'u', 'ħ', 's', 'i', 'n', 'i:', 'n']

135
وَٱلَّذِينَ              ['w', 'a', 'l', 'l', 'a', 'ð', 'i:', 'n', 'a']
إِذَا                 ['ʔ', 'i', 'ð', 'a:']
فَعَلُواۡ               ['f', 'a', 'ʕ', 'a', 'l', 'u:']
فَـٰحِشَةً               ['f', 'a:', 'ħ', 'i', 'ʃ', 'a', 't', 'an']
أَوۡ                  ['ʔ', 'a', 'w']
ظَلَمُوٓاۡ               ['ðˤ', 'a', 'l', 'a', 'm', 'u:']
أَنفُسَهُمۡ              ['ʔ', 'a', 'Ikh1', 'f', 'u', 's', 'a', 'h', 'u', 'm']
ذَكَرُواۡ               ['ð', 'a', 'k', 'a', 'r', 'u:']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
فَٱسۡتَغۡفَرُواۡ           ['f', 'a', 's', 't', 'a', 'ɣ', 'f', 'a', 'r', 'u:']
لِذُنُوبِهِمۡ             ['l', 'i', 'ð', 'u', 'n', 'u:', 'b', 'i', 'h', 'i', 'm']
وَمَن                 ['w', 'a', 'm', 'a']
يَغۡفِرُ                ['j̰', 'a', 'ɣ', 'f', 'i', 'r', 'u']
ٱلذُّنُوبَ              ['ð', 'ð', 'u', 'n', 'u:', 'b', 'a']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a:']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
وَلَمۡ                 ['w', 'a', 'l', 'a', 'm']
يُصِرُّواۡ               ['j', 'u', 'sˤ', 'i', 'r', 'r', 'u:']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
مَا                  ['m', 'a:']
فَعَلُواۡ               ['f', 'a', 'ʕ', 'a', 'l', 'u:']
وَهُمۡ                 ['w', 'a', 'h', 'u', 'm']
يَعۡلَمُونَ              ['j', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n']

136
أُوۡلَـٰٓئِكَ              ['ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
جَزَآؤُهُم              ['ʒ', 'a', 'z', 'a:', 'ʔ', 'u', 'h', 'u', 'm̰']
مَّغۡفِرَةٌ               ['a', 'ɣ', 'f', 'i', 'r', 'a', 't', 'u']
مِّن                  ['m̰', 'i']
رَّبِّهِمۡ                ['r', 'r', 'a', 'b', 'b', 'i', 'h', 'i', 'm']
وَجَنَّـٰتٌ               ['w', 'a', 'ʒ', 'a', 'n̰', 'a:', 't', 'u', 'Ikh1']
تَجۡرِى                ['t', 'a', 'ʒ', 'Q', 'r', 'i:']
مِن                  ['m', 'i', 'Ikh1']
تَحۡتِهَا               ['t', 'a', 'ħ', 't', 'i', 'h', 'a:']
ٱلۡأَنۡهَـٰرُ             ['l', 'ʔ', 'a', 'n', 'h', 'a:', 'r', 'u']
خَـٰلِدِينَ              ['x', 'a:', 'l', 'i', 'd', 'i:', 'n', 'a']
فِيهَا‌ۚ               ['f', 'i:', 'h', 'a:']
وَنِعۡمَ                ['w', 'a', 'n', 'i', 'ʕ', 'm', 'a']
أَجۡرُ                 ['ʔ', 'a', 'ʒ', 'Q', 'r', 'u']
ٱلۡعَـٰمِلِينَ            ['l', 'ʕ', 'a:', 'm', 'i', 'l', 'i:', 'n']

137
قَدۡ                  ['q', 'a', 'd', 'QQ']
خَلَتۡ                 ['x', 'a', 'l', 'a', 't']
مِن                  ['m', 'i', 'Ikh2']
قَبۡلِكُمۡ               ['q', 'a', 'b', 'Q', 'l', 'i', 'k', 'u', 'm']
سُنَنٌ                 ['s', 'u', 'n', 'a', 'n', 'u', 'Ikh1']
فَسِيرُواۡ              ['f', 'a', 's', 'i:', 'r', 'u:']
فِى                  ['f', 'i:']
ٱلۡأَرۡضِ               ['l', 'ʔ', 'a', 'r', 'dˤ', 'i']
فَٱنظُرُواۡ             ['f', 'a', 'Ikh2', 'ðˤ', 'u', 'r', 'u:']
كَيۡفَ                 ['k', 'a', 'j', 'f', 'a']
كَانَ                 ['k', 'a:', 'n', 'a']
عَـٰقِبَةُ               ['ʕ', 'a:', 'q', 'i', 'b', 'a', 't', 'u']
ٱلۡمُكَذِّبِينَ            ['l', 'm', 'u', 'k', 'a', 'ð', 'ð', 'i', 'b', 'i:', 'n']

138
هَـٰذَا                ['h', 'a:', 'ð', 'a:']
بَيَانٌ                ['b', 'a', 'j', 'a:', 'n', 'u']
لِّلنَّاسِ               ['l', 'l', 'i', 'l', 'n̰', 'a:', 's', 'i']
وَهُدًى                ['w', 'a', 'h', 'u', 'd', 'a']
وَمَوۡعِظَةٌ              ['w̰', 'a', 'm', 'a', 'w', 'ʕ', 'i', 'ðˤ', 'a', 't', 'u']
لِّلۡمُتَّقِينَ             ['l', 'l', 'i', 'l', 'm', 'u', 't', 't', 'a', 'q', 'i:', 'n']

139
وَلَا                 ['w', 'a', 'l', 'a:']
تَهِنُواۡ               ['t', 'a', 'h', 'i', 'n', 'u:']
وَلَا                 ['w', 'a', 'l', 'a:']
تَحۡزَنُواۡ              ['t', 'a', 'ħ', 'z', 'a', 'n', 'u:']
وَأَنتُمُ               ['w', 'a', 'ʔ', 'a', 'Ikh1', 't', 'u', 'm', 'u']
ٱلۡأَعۡلَوۡنَ             ['l', 'ʔ', 'a', 'ʕ', 'l', 'a', 'w', 'n', 'a']
إِن                  ['ʔ', 'i', 'Ikh1']
كُنتُم                ['k', 'u', 'Ikh1', 't', 'u', 'm̰']
مُّؤۡمِنِينَ              ['u', 'ʔ', 'm', 'i', 'n', 'i:', 'n']

140
إِن                  ['ʔ', 'i']
يَمۡسَسۡكُمۡ              ['j̰', 'a', 'm', 's', 'a', 's', 'k', 'u', 'm']
قَرۡحٌ                 ['q', 'a', 'r', 'ħ', 'u', 'Ikh1']
فَقَدۡ                 ['f', 'a', 'q', 'a', 'd', 'QQ']
مَسَّ                  ['m', 'a', 's', 's', 'a']
ٱلۡقَوۡمَ               ['l', 'q', 'a', 'w', 'm', 'a']
قَرۡحٌ                 ['q', 'a', 'r', 'ħ', 'u']
مِّثۡلُهُۥ‌ۚ              ['m̰', 'i', 'θ', 'l', 'u', 'h', 'u:']
وَتِلۡكَ                ['w', 'a', 't', 'i', 'l', 'k', 'a']
ٱلۡأَيَّامُ              ['l', 'ʔ', 'a', 'j', 'j', 'a:', 'm', 'u']
نُدَاوِلُهَا             ['n', 'u', 'd', 'a:', 'w', 'i', 'l', 'u', 'h', 'a:']
بَيۡنَ                 ['b', 'a', 'j', 'n', 'a']
ٱلنَّاسِ               ['n̰', 'a:', 's', 'i']
وَلِيَعۡلَمَ              ['w', 'a', 'l', 'i', 'j', 'a', 'ʕ', 'l', 'a', 'm', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
ءَامَنُواۡ              ['ʔ', 'a:', 'm', 'a', 'n', 'u:']
وَيَتَّخِذَ               ['w', 'a', 'j', 'a', 't', 't', 'a', 'x', 'i', 'ð', 'a']
مِنكُمۡ                ['m', 'i', 'Ikh1', 'k', 'u', 'm']
شُهَدَآءَ‌ۗ              ['ʃ', 'u', 'h', 'a', 'd', 'a:', 'ʔ', 'a']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
لَا                  ['l', 'a:']
يُحِبُّ                 ['j', 'u', 'ħ', 'i', 'b', 'b', 'u']
ٱلظَّـٰلِمِينَ            ['ðˤ', 'ðˤ', 'a:', 'l', 'i', 'm', 'i:', 'n']

141
وَلِيُمَحِّصَ              ['w', 'a', 'l', 'i', 'j', 'u', 'm', 'a', 'ħ', 'ħ', 'i', 'sˤ', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
ءَامَنُواۡ              ['ʔ', 'a:', 'm', 'a', 'n', 'u:']
وَيَمۡحَقَ               ['w', 'a', 'j', 'a', 'm', 'ħ', 'a', 'q', 'a']
ٱلۡكَـٰفِرِينَ            ['l', 'k', 'a:', 'f', 'i', 'r', 'i:', 'n']

142
أَمۡ                  ['ʔ', 'a', 'm']
حَسِبۡتُمۡ               ['ħ', 'a', 's', 'i', 'b', 'Q', 't', 'u', 'm']
أَن                  ['ʔ', 'a', 'Ikh1']
تَدۡخُلُواۡ              ['t', 'a', 'd', 'Q', 'x', 'u', 'l', 'u:']
ٱلۡجَنَّةَ               ['l', 'ʒ', 'a', 'n̰', 'a', 't', 'a']
وَلَمَّا                ['w', 'a', 'l', 'a', 'm̰', 'a:']
يَعۡلَمِ                ['j', 'a', 'ʕ', 'l', 'a', 'm', 'i']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
جَـٰهَدُواۡ              ['ʒ', 'a:', 'h', 'a', 'd', 'u:']
مِنكُمۡ                ['m', 'i', 'Ikh1', 'k', 'u', 'm']
وَيَعۡلَمَ               ['w', 'a', 'j', 'a', 'ʕ', 'l', 'a', 'm', 'a']
ٱلصَّـٰبِرِينَ            ['sˤ', 'sˤ', 'a:', 'b', 'i', 'r', 'i:', 'n']

143
وَلَقَدۡ                ['w', 'a', 'l', 'a', 'q', 'a', 'd', 'QQ']
كُنتُمۡ                ['k', 'u', 'Ikh1', 't', 'u', 'm']
تَمَنَّوۡنَ               ['t', 'a', 'm', 'a', 'n̰', 'a', 'w', 'n', 'a']
ٱلۡمَوۡتَ               ['l', 'm', 'a', 'w', 't', 'a']
مِن                  ['m', 'i', 'Ikh2']
قَبۡلِ                 ['q', 'a', 'b', 'Q', 'l', 'i']
أَن                  ['ʔ', 'a', 'Ikh1']
تَلۡقَوۡهُ               ['t', 'a', 'l', 'q', 'a', 'w', 'h', 'u']
فَقَدۡ                 ['f', 'a', 'q', 'a', 'd', 'QQ']
رَأَيۡتُمُوهُ             ['r', 'a', 'ʔ', 'a', 'j', 't', 'u', 'm', 'u:', 'h', 'u']
وَأَنتُمۡ               ['w', 'a', 'ʔ', 'a', 'Ikh1', 't', 'u', 'm']
تَنظُرُونَ              ['t', 'a', 'Ikh2', 'ðˤ', 'u', 'r', 'u:', 'n']

144
وَمَا                 ['w', 'a', 'm', 'a:']
مُحَمَّدٌ                ['m', 'u', 'ħ', 'a', 'm̰', 'a', 'd', 'un']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a:']
رَسُولٌ                ['r', 'a', 's', 'u:', 'l', 'u', 'Ikh2']
قَدۡ                  ['q', 'a', 'd', 'QQ']
خَلَتۡ                 ['x', 'a', 'l', 'a', 't']
مِن                  ['m', 'i', 'Ikh2']
قَبۡلِهِ                ['q', 'a', 'b', 'Q', 'l', 'i', 'h', 'i']
ٱلرُّسُلُ‌ۚ              ['r', 'r', 'u', 's', 'u', 'l', 'u']
أَفَإِيۡن               ['ʔ', 'a', 'f', 'a', 'ʔ', 'i']
مَّاتَ                 ['m̰', 'a:', 't', 'a']
أَوۡ                  ['ʔ', 'a', 'w']
قُتِلَ                 ['q', 'u', 't', 'i', 'l', 'a']
ٱنقَلَبۡتُمۡ             ['Ikh2', 'q', 'a', 'l', 'a', 'b', 'Q', 't', 'u', 'm']
عَلَىٰٓ                 ['ʕ', 'a', 'l', 'a:']
أَعۡقَـٰبِكُمۡ‌ۚ            ['ʔ', 'a', 'ʕ', 'q', 'a:', 'b', 'i', 'k', 'u', 'm']
وَمَن                 ['w', 'a', 'm', 'a']
يَنقَلِبۡ               ['j̰', 'a', 'Ikh2', 'q', 'a', 'l', 'i', 'b', 'QQ']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
عَقِبَيۡهِ               ['ʕ', 'a', 'q', 'i', 'b', 'a', 'j', 'h', 'i']
فَلَن                 ['f', 'a', 'l', 'a']
يَضُرَّ                 ['j̰', 'a', 'dˤ', 'u', 'r', 'r', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
شَيۡــًٔا‌ۗ              ['ʃ', 'a', 'j', 'ʔ', 'a']
وَسَيَجۡزِى              ['w̰', 'a', 's', 'a', 'j', 'a', 'ʒ', 'Q', 'z', 'i:']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
ٱلشَّـٰكِرِينَ            ['ʃ', 'ʃ', 'a:', 'k', 'i', 'r', 'i:', 'n']

145
وَمَا                 ['w', 'a', 'm', 'a:']
كَانَ                 ['k', 'a:', 'n', 'a']
لِنَفۡسٍ                ['l', 'i', 'n', 'a', 'f', 's', 'in']
أَن                  ['ʔ', 'a', 'Ikh1']
تَمُوتَ                ['t', 'a', 'm', 'u:', 't', 'a']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a:']
بِإِذۡنِ                ['b', 'i', 'ʔ', 'i', 'ð', 'n', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
كِتَـٰبًا               ['k', 'i', 't', 'a:', 'b', 'a']
مُّؤَجَّلاً‌ۗ              ['m̰', 'u', 'ʔ', 'a', 'ʒ', 'ʒ', 'a', 'l:', 'a']
وَمَن                 ['w̰', 'a', 'm', 'a']
يُرِدۡ                 ['j̰', 'u', 'r', 'i', 'd', 'QQ']
ثَوَابَ                ['θ', 'a', 'w', 'a:', 'b', 'a']
ٱلدُّنۡيَا              ['d', 'd', 'u', 'n', 'j', 'a:']
نُؤۡتِهِۦ               ['n', 'u', 'ʔ', 't', 'i', 'h', 'i:']
مِنۡهَا                ['m', 'i', 'n', 'h', 'a:']
وَمَن                 ['w', 'a', 'm', 'a']
يُرِدۡ                 ['j̰', 'u', 'r', 'i', 'd', 'QQ']
ثَوَابَ                ['θ', 'a', 'w', 'a:', 'b', 'a']
ٱلۡأَخِرَةِ              ['l', 'ʔ', 'a', 'x', 'i', 'r', 'a', 't', 'i']
نُؤۡتِهِۦ               ['n', 'u', 'ʔ', 't', 'i', 'h', 'i:']
مِنۡهَا‌ۚ               ['m', 'i', 'n', 'h', 'a:']
وَسَنَجۡزِى              ['w', 'a', 's', 'a', 'n', 'a', 'ʒ', 'Q', 'z', 'i:']
ٱلشَّـٰكِرِينَ            ['ʃ', 'ʃ', 'a:', 'k', 'i', 'r', 'i:', 'n']

146
وَكَأَيِّن               ['w', 'a', 'k', 'a', 'ʔ', 'a', 'j', 'j', 'i']
مِّن                  ['m̰', 'i']
نَّبِىٍّ                 ['n̰', 'a', 'b', 'i', 'j', 'j', 'i', 'Ikh2']
قَـٰتَلَ                ['q', 'a:', 't', 'a', 'l', 'a']
مَعَهُۥ                ['m', 'a', 'ʕ', 'a', 'h', 'u:']
رِبِّيُّونَ               ['r', 'i', 'b', 'b', 'i', 'j', 'j', 'u:', 'n', 'a']
كَثِيرٌ                ['k', 'a', 'θ', 'i:', 'r', 'u', 'Ikh1']
فَمَا                 ['f', 'a', 'm', 'a:']
وَهَنُواۡ               ['w', 'a', 'h', 'a', 'n', 'u:']
لِمَآ                 ['l', 'i', 'm', 'a:']
أَصَابَهُمۡ              ['ʔ', 'a', 'sˤ', 'a:', 'b', 'a', 'h', 'u', 'm']
فِى                  ['f', 'i:']
سَبِيلِ                ['s', 'a', 'b', 'i:', 'l', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
وَمَا                 ['w', 'a', 'm', 'a:']
ضَعُفُواۡ               ['dˤ', 'a', 'ʕ', 'u', 'f', 'u:']
وَمَا                 ['w', 'a', 'm', 'a:']
ٱسۡتَكَانُواۡ‌ۗ           ['s', 't', 'a', 'k', 'a:', 'n', 'u:']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
يُحِبُّ                 ['j', 'u', 'ħ', 'i', 'b', 'b', 'u']
ٱلصَّـٰبِرِينَ            ['sˤ', 'sˤ', 'a:', 'b', 'i', 'r', 'i:', 'n']

147
وَمَا                 ['w', 'a', 'm', 'a:']
كَانَ                 ['k', 'a:', 'n', 'a']
قَوۡلَهُمۡ               ['q', 'a', 'w', 'l', 'a', 'h', 'u', 'm']
إِلَّآ                 ['ʔ', 'i', 'l', 'l', 'a:']
أَن                  ['ʔ', 'a', 'Ikh2']
قَالُواۡ               ['q', 'a:', 'l', 'u:']
رَبَّنَا                ['r', 'a', 'b', 'b', 'a', 'n', 'a:']
ٱغۡفِرۡ                ['ɣ', 'f', 'i', 'r']
لَنَا                 ['l', 'a', 'n', 'a:']
ذُنُوبَنَا              ['ð', 'u', 'n', 'u:', 'b', 'a', 'n', 'a:']
وَإِسۡرَافَنَا            ['w', 'a', 'ʔ', 'i', 's', 'r', 'a:', 'f', 'a', 'n', 'a:']
فِىٓ                  ['f', 'i:']
أَمۡرِنَا               ['ʔ', 'a', 'm', 'r', 'i', 'n', 'a:']
وَثَبِّتۡ                ['w', 'a', 'θ', 'a', 'b', 'b', 'i', 't']
أَقۡدَامَنَا             ['ʔ', 'a', 'q', 'Q', 'd', 'a:', 'm', 'a', 'n', 'a:']
وَٱنصُرۡنَا             ['w', 'a', 'Ikh2', 'sˤ', 'u', 'r', 'n', 'a:']
عَلَى                 ['ʕ', 'a', 'l', 'a:']
ٱلۡقَوۡمِ               ['l', 'q', 'a', 'w', 'm', 'i']
ٱلۡكَـٰفِرِينَ            ['l', 'k', 'a:', 'f', 'i', 'r', 'i:', 'n']

148
فَـَٔـاتَـٰهُمُ            ['f', 'a', 'ʔ', 'a:', 't', 'a:', 'h', 'u', 'm', 'u']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
ثَوَابَ                ['θ', 'a', 'w', 'a:', 'b', 'a']
ٱلدُّنۡيَا              ['d', 'd', 'u', 'n', 'j', 'a:']
وَحُسۡنَ                ['w', 'a', 'ħ', 'u', 's', 'n', 'a']
ثَوَابِ                ['θ', 'a', 'w', 'a:', 'b', 'i']
ٱلۡأَخِرَةِ‌ۗ             ['l', 'ʔ', 'a', 'x', 'i', 'r', 'a', 't', 'i']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
يُحِبُّ                 ['j', 'u', 'ħ', 'i', 'b', 'b', 'u']
ٱلۡمُحۡسِنِينَ            ['l', 'm', 'u', 'ħ', 's', 'i', 'n', 'i:', 'n']

149
يَـٰٓأَيُّهَا              ['j', 'a:', 'ʔ', 'a', 'j', 'j', 'u', 'h', 'a:']
